AREA NAME,Rpt Dist No,LOCATION,LAT,LON
Wilshire,784,1900 S LONGWOOD AV,34.0375,-118.3506
Central,182,1000 S FLOWER ST,34.0444,-118.2628
Southwest,356,1400 W 37TH ST,34.021,-118.3002
Van Nuys,964,14000 RIVERSIDE DR,34.1576,-118.4387
Hollywood,666,1900 TRANSIENT,34.0944,-118.3277
Southeast,1826,9900 COMPTON AV,33.9467,-118.2463
Central,182,1100 S GRAND AV,34.0415,-118.262
Southwest,303,2500 S SYCAMORE AV,34.0335,-118.3537
Newton,1375,1300 E 57TH ST,33.9911,-118.2521
Mission,1974,9000 CEDROS AV,34.2336,-118.4535
Southeast,1822,100 W COLDEN AV,33.9492,-118.2739
Mission,1988,13400 RANGOON ST,34.2285,-118.4258
Rampart,201,900 N MARIPOSA AV,34.0868,-118.2991
West Valley,1029,VALJEAN ST,34.1939,-118.4859
Rampart,271,900 S LAKE ST,34.0539,-118.2799
Southwest,391,4200 SANTO TOMAS DR,34.0103,-118.3456
Southeast,1802,400 W 90TH ST,33.9551,-118.2814
Newton,1354,4000 WALL ST,34.0112,-118.2716
Wilshire,776,4500 LOMITA ST,34.0452,-118.3351
West Valley,1067,5200 GENESTA AV,34.166,-118.5033
Wilshire,747,800 S TREMAINE AV,34.0608,-118.3359
West LA,801,16700 MONTE HERMOSO DR,34.0677,-118.552
Mission,1983,8500 COLUMBUS AV,34.2246,-118.4654
Olympic,2088,1700 S WESTMORELAND AV,34.0433,-118.2892
Hollenbeck,413,200 E AVENUE 28,34.082,-118.213
Topanga,2157,21000 VANOWEN ST,34.1938,-118.5906
Northeast,1132,2800 WAVERLY DR,34.1084,-118.2639
Topanga,2113,7700 SAUSALITO AV,34.2105,-118.6157
77th Street,1243,1600 W 67TH ST,33.9785,-118.3068
West LA,842,1200 S WESTGATE AV,34.0474,-118.4635
77th Street,1242,6200 4TH AV,33.9837,-118.3216
77th Street,1268,100 E 85TH ST,33.961,-118.2739
Northeast,1101,2800 E OBSERVATORY RD,34.1192,-118.3004
Pacific,1446,WASHINGTON PL,34.0022,-118.4255
Rampart,233,200 S CORONADO ST,34.0697,-118.2779
77th Street,1259,7800 S SAN PEDRO ST,33.9679,-118.2695
Southeast,1801,8700 ORCHARD AV,33.9587,-118.2882
N Hollywood,1539,5700 CARTWRIGHT AV,34.174,-118.3638
Hollenbeck,478,3400 PERCY ST,34.0286,-118.1996
Mission,1985,8700 TOBIAS AV,34.228,-118.4517
West Valley,1045,17900 EMELITA ST,34.1776,-118.523
77th Street,1259,700 E 73RD ST,33.9739,-118.263
Rampart,249,1100 W 6TH ST,34.0541,-118.2621
N Hollywood,1535,5700 COLFAX AV,34.174,-118.3878
Newton,1333,2700 S CENTRAL AV,34.0174,-118.2621
Van Nuys,971,15200 LA MAIDA ST,34.1585,-118.464
Mission,1902,14500 WILLOWGREEN LN,34.3194,-118.4518
Hollywood,645,1700 ORCHID AV,34.103,-118.3402
Southwest,317,1400 W 25TH ST,34.0337,-118.2915
77th Street,1256,500 W 75TH ST,33.9717,-118.2827
