Premis Cd,Premis Desc
101.0,STREET
128.0,BUS STOP/LAYOVER (ALSO QUERY 124)
502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
405.0,CLOTHING STORE
102.0,SIDEWALK
501.0,SINGLE FAMILY DWELLING
248.0,CELL PHONE STORE
750.0,CYBERSPACE
751.0,WEBSITE
203.0,OTHER BUSINESS
108.0,PARKING LOT
504.0,OTHER RESIDENCE
605.0,AUTOMATED TELLER MACHINE (ATM)
404.0,DEPARTMENT STORE
221.0,PUBLIC STORAGE
707.0,GARAGE/CARPORT
209.0,EQUIPMENT RENTAL
702.0,OFFICE BUILDING/OFFICE
726.0,POLICE FACILITY
801.0,MTA BUS
729.0,SPECIALTY SCHOOL/OTHER
602.0,BANK
725.0,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)"
737.0,SKATING RINK*
124.0,BUS STOP
720.0,JUNIOR HIGH SCHOOL
116.0,OTHER/OUTSIDE
103.0,ALLEY
122.0,"VEHICLE, PASSENGER/TRUCK"
506.0,ABANDONED BUILDING ABANDONED HOUSE
212.0,TRANSPORTATION FACILITY (AIRPORT)
505.0,MOTEL
701.0,HOSPITAL
112.0,"BUS, SCHOOL, CHURCH"
710.0,OTHER PREMISE
120.0,STORAGE SHED
406.0,OTHER STORE
721.0,HIGH SCHOOL
145.0,MAIL BOX
503.0,HOTEL
735.0,NIGHT CLUB (OPEN EVENINGS ONLY)
604.0,FINANCE COMPANY
109.0,PARK/PLAYGROUND
717.0,HEALTH SPA/GYM
708.0,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE)
712.0,COLISEUM
104.0,DRIVEWAY
152.0,UNDERPASS/BRIDGE*
607.0,BANKING INSIDE MARKET-STORE *
238.0,TELECOMMUNICATION FACILITY/LOCATION
222.0,LAUNDROMAT
119.0,"PORCH, RESIDENTIAL"
507.0,CONDOMINIUM/TOWNHOUSE
514.0,GROUP HOME
125.0,PAY PHONE
220.0,NAIL SALON
154.0,TRAIN TRACKS
704.0,ELEMENTARY SCHOOL
740.0,OTHER PLACE OF WORSHIP
243.0,"DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)"
517.0,MISSIONS/SHELTERS
802.0,MUNICIPAL BUS LINE INCLUDES LADOT/DASH
732.0,POST OFFICE
943.0,MTA - EXPO LINE - JEFFERSON/USC
